"Num LSTM layers","Length of input sequences","Hidden size of each LSTM layer","Total time
1k runs (s)","Average time (s)"
1,128,64,0.746012,0.000746012
4,128,256,5.77095,0.00577095
3,64,64,1.08874,0.00108874
4,256,300,16.0921,0.0160921
2,200,256,4.33196,0.00433196
3,200,32,2.8897,0.0028897
2,64,64,0.738225,0.000738225
4,128,64,2.60778,0.00260778
1,128,128,0.904381,0.000904381
1,128,100,0.911337,0.000911337
2,256,400,10.5894,0.0105894
1,128,300,2.1013,0.0021013
3,200,200,5.92087,0.00592087
1,256,256,2.90953,0.00290953
1,64,64,0.423182,0.000423182
4,256,100,6.77791,0.00677791
4,256,128,6.44245,0.00644245
2,32,256,0.843054,0.000843054
1,200,400,4.35565,0.00435565
4,32,128,1.00346,0.00100346
4,32,100,0.995462,0.000995462
4,200,64,4.12007,0.00412007
6,64,100,2.59777,0.00259777
6,64,128,2.52666,0.00252666
3,128,100,2.66587,0.00266587
6,64,64,2.04598,0.00204598
3,128,128,2.42051,0.00242051
3,64,128,1.30812,0.00130812
3,64,100,1.39151,0.00139151
1,32,100,0.326808,0.000326808
1,200,64,1.10567,0.00110567
2,256,200,4.87722,0.00487722
1,32,128,0.323491,0.000323491
3,128,32,1.92196,0.00192196
4,64,64,1.43034,0.00143034
2,64,200,1.36333,0.00136333
3,200,400,13.8128,0.0138128
1,32,300,0.637856,0.000637856
3,128,300,6.02596,0.00602596
1,200,200,2.15951,0.00215951
3,256,256,8.22061,0.00822061
2,256,64,2.55313,0.00255313
4,32,300,2.0917,0.0020917
3,200,300,9.09861,0.00909861
1,32,400,0.777244,0.000777244
4,64,256,2.91501,0.00291501
1,128,200,1.47128,0.00147128
1,256,32,1.31659,0.00131659
6,32,256,2.32177,0.00232177
3,128,400,8.3331,0.0083331
6,32,32,1.11991,0.00111991
3,32,256,1.20478,0.00120478
4,256,32,5.01763,0.00501763
1,64,256,0.843317,0.000843317
4,32,400,2.81842,0.00281842
2,200,32,2.00487,0.00200487
4,256,200,12.7839,0.0127839
3,200,128,3.77847,0.00377847
3,200,100,3.97403,0.00397403
4,32,32,0.779901,0.000779901
1,128,400,2.77042,0.00277042
2,256,128,3.10745,0.00310745
2,64,300,2.17093,0.00217093
1,32,200,0.475079,0.000475079
2,256,100,3.3473,0.0033473
3,64,200,2.06857,0.00206857
2,32,32,0.4699,0.0004699
6,64,200,3.90672,0.00390672
3,256,64,3.91432,0.00391432
4,32,200,1.39413,0.00139413
1,200,300,3.18228,0.00318228
3,32,32,0.600723,0.000600723
3,128,200,3.85604,0.00385604
1,200,100,1.42071,0.00142071
1,200,128,1.32867,0.00132867
4,256,400,21.3173,0.0213173
2,128,32,1.32242,0.00132242
2,128,256,2.90996,0.00290996
1,32,32,0.268329,0.000268329
4,200,256,9.82899,0.00982899
2,64,128,0.897067,0.000897067
2,256,300,7.89156,0.00789156
2,64,100,0.902266,0.000902266
4,128,200,5.0114,0.0050114
1,128,32,0.73515,0.00073515
3,64,32,1.07662,0.00107662
1,64,128,0.526847,0.000526847
1,64,100,0.508105,0.000508105
2,200,200,3.96214,0.00396214
3,200,64,2.97361,0.00297361
3,32,100,0.772169,0.000772169
3,32,128,0.747991,0.000747991
2,64,32,0.75487,0.00075487
4,128,32,2.63396,0.00263396
6,32,128,1.44252,0.00144252
6,32,100,1.4023,0.0014023
4,64,100,1.7371,0.0017371
4,64,128,1.77602,0.00177602
6,32,300,3.10278,0.00310278
3,200,256,7.51422,0.00751422
1,256,200,2.68164,0.00268164
1,64,32,0.422293,0.000422293
3,32,300,1.62941,0.00162941
3,256,400,16.214,0.016214
1,64,300,1.02068,0.00102068
2,32,200,0.745434,0.000745434
2,200,400,8.49098,0.00849098
4,200,32,3.83648,0.00383648
6,64,32,2.01894,0.00201894
4,128,400,12.1588,0.0121588
2,256,256,5.53965,0.00553965
1,200,32,1.05992,0.00105992
4,200,300,12.0695,0.0120695
2,128,300,4.14436,0.00414436
3,128,64,2.01611,0.00201611
2,128,128,1.71165,0.00171165
2,128,100,1.66015,0.00166015
1,256,400,5.65019,0.00565019
4,64,32,1.35652,0.00135652
2,64,256,1.49529,0.00149529
4,200,128,5.0242,0.0050242
4,200,100,5.35214,0.00535214
1,200,256,2.26729,0.00226729
2,32,400,1.4797,0.0014797
3,256,200,9.60024,0.00960024
2,256,32,2.50379,0.00250379
1,256,300,4.02648,0.00402648
4,64,200,2.59308,0.00259308
6,32,200,2.09932,0.00209932
1,256,64,1.38315,0.00138315
1,128,256,1.51791,0.00151791
4,128,100,3.39074,0.00339074
6,32,64,1.18147,0.00118147
4,128,128,3.23348,0.00323348
4,256,64,5.07605,0.00507605
3,32,200,1.09053,0.00109053
1,64,200,0.725477,0.000725477
2,200,100,2.59902,0.00259902
2,200,128,2.42206,0.00242206
2,32,300,1.10876,0.00110876
2,200,64,2.04223,0.00204223
2,32,100,0.515805,0.000515805
2,32,128,0.555808,0.000555808
2,200,300,6.79681,0.00679681
4,256,256,11.1932,0.0111932
4,128,300,8.59811,0.00859811
4,200,400,16.8465,0.0168465
2,128,400,5.9512,0.0059512
4,32,64,0.833481,0.000833481
1,256,128,1.73862,0.00173862
1,256,100,1.70764,0.00170764
6,32,400,4.27512,0.00427512
1,32,256,0.472124,0.000472124
3,64,256,2.2473,0.0022473
2,32,64,0.486306,0.000486306
6,64,256,4.33408,0.00433408
4,32,256,1.59138,0.00159138
3,256,32,3.64509,0.00364509
3,32,400,2.14854,0.00214854
3,256,300,12.1156,0.0121156
3,32,64,0.623529,0.000623529
3,128,256,4.79214,0.00479214
3,256,100,5.14042,0.00514042
3,256,128,4.81115,0.00481115
2,128,64,1.38152,0.00138152
2,128,200,2.50813,0.00250813
1,32,64,0.279635,0.000279635
4,200,200,7.71097,0.00771097
